PLAYER,A,BLK,DEF,OFF,PF,PTS,STL,TO,TOT,3P,3PA,FG,FGA,FT,FTA,MINS,TEAM,PER
Andrew Smith,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,Florida A&M,-24.599791865137384
Andrew Terrell,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,Maryland,-0.5516594569637209
Andrew White III,35,12,115,26,61,514,49,53,141,93,247,166,399,89,109,1107,Syracuse,31.006852998304215
Andrien White,28,11,84,20,59,270,38,42,104,45,124,83,213,59,76,624,Charlotte,28.588330094455785
Andrija Matic,4,0,11,9,6,22,0,7,20,1,2,7,15,7,14,113,American U.,13.981160395139444
Andris Misters,14,0,27,4,22,87,4,16,31,18,39,30,65,9,10,295,Jacksonville,8.966822321864916
Andy Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,San Diego,0.0
Andy Van Vliet,2,2,14,5,3,18,0,2,19,3,8,6,17,3,4,46,Wisconsin,35.37515375007529
Anfernee Felton,7,1,6,0,9,5,2,2,6,1,4,2,8,0,0,79,Jackson State,6.334015215692693
Anfernee McLemore,4,32,80,53,70,163,10,26,133,1,1,64,94,34,56,434,Auburn,35.45429172059758
Angel Delgado,56,7,240,138,70,451,18,79,378,0,0,175,322,101,184,958,Seton Hall,41.138526608432876
Angel Rivera,137,0,76,6,58,212,22,47,82,20,72,72,178,48,66,837,Stetson,20.35040136308389
Anson Moye,8,1,10,2,15,8,4,5,12,2,9,3,13,0,2,142,Long Beach St.,2.896465459013494
Anthony Bilas,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,Wake Forest,-50.35921550521
Anthony Bonner,9,0,32,3,38,97,7,11,35,13,40,33,83,18,20,413,Colorado St.,13.170616623322003
Anthony Boswell,13,4,34,10,39,63,7,19,44,9,41,22,80,10,12,440,Florida International,4.490043843992898
Anthony Catotti,0,0,1,0,0,2,0,0,1,0,0,1,1,0,0,6,Central Florida,35.554966356940085
Anthony Cowan,104,5,85,25,62,304,33,64,110,22,69,85,200,112,147,851,Maryland,9.329636401128202
Anthony Dallier,95,4,77,13,57,233,23,66,90,34,86,68,169,63,83,786,Yale,20.7863941112692
Anthony Durham,23,0,42,15,41,123,7,22,57,13,32,45,113,20,28,381,Rider,16.468993315935418
Anthony Eaves,21,4,28,9,24,98,9,23,37,21,59,37,113,3,3,341,Chicago St.,12.4628306313355
Anthony Gaston,0,0,5,0,2,4,2,0,5,0,1,1,9,2,5,23,Grambling State,-2.7793155688069517
Anthony Green,6,37,76,43,56,144,9,23,119,0,0,59,103,26,48,528,Northeastern,27.464443759936064
Anthony Lamb,18,36,99,61,85,386,20,65,160,15,43,151,293,69,95,676,Vermont,42.18255016311872
Anthony Lawrence Jr.,51,14,91,24,66,210,38,40,115,31,85,68,157,43,58,746,Miami-Florida,26.52812142820129
Anthony Lindauer,70,10,63,3,55,299,32,63,66,55,131,98,249,48,56,728,High Point,25.85034851973761
